"Natural resource depletion (% of GNI)"
"Dimension: Environmental sustainability"
"By 2030, achieve the sustainable management and efficient use of natural resources"
"Definition: Monetary valuation of energy, mineral and forest depletion, expressed as a percentage of gross national income (GNI)."
"Source: World Bank (2020a). World Development Indicators database. Washington, DC. http://data.worldbank.org. Accessed 22 July 2020."
""
"HDI Rank","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2015-2018",""
"102"," Jordan","0.1","","0.1","","0.1","","0.1","","0.2","","0.4","","0.4","","0.2","","0.2","","0.3","","0.2","","0.2","","0.2","","0.2","a"
"51"," Kazakhstan","..","","4.0","","18.5","","20.6","","12.0","","13.8","","13.0","","10.7","","9.5","","5.4","","6.6","","8.7","","12.5","","12.5","a"
"143"," Kenya","5.0","","7.4","","3.3","","3.9","","3.0","","3.2","","3.3","","3.0","","2.9","","2.9","","2.8","","2.4","","1.3","","1.3","a"
"134"," Kiribati","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","a"
"23"," Korea (Republic of)","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","a"
"64"," Kuwait","2.5","","6.4","","8.2","","12.4","","9.9","","14.3","","15.6","","14.4","","13.2","","8.8","","7.5","","7.7","","9.4","","9.4","a"
"120"," Kyrgyzstan","..","","..","","0.5","","0.5","","8.4","","10.0","","5.2","","7.1","","5.6","","5.8","","6.9","","8.9","","9.2","","9.2","a"
"137"," Lao People's Democratic Republic","3.9","","5.6","","2.6","","3.5","","10.2","","10.9","","9.2","","8.3","","7.2","","5.4","","4.9","","4.7","","3.8","","3.8","a"
"37"," Latvia","..","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","a"
"92"," Lebanon","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","a"
