92,"Lebanon",92.5,"",95.3,"",94.0,"",94.0,"",95.0,"",95.5,"",96.4,"",95.7,"",97.6,"","..","",97.6,"a"
1.5,"Libya",98.9,"",99.1,"",99.1,"",99.1,"",99.3,"",98.9,"",99.1,"",99.2,"",99.1,"","..","",99.1,"a"
34,"Lithuania",75.8,"",60.0,"",58.7,"",59.9,"",74.3,"",73.9,"",72.9,"",70.0,"",68.0,"","..","",68.0,"a"
23,"Luxembourg",89.2,"",84.9,"",83.4,"",91.2,"",88.0,"",87.0,"",87.2,"",84.5,"",83.3,"",80.6,"",80.6,"a"
62,"Malaysia",89.9,"",93.0,"",95.0,"",96.8,"",96.9,"",96.8,"",96.7,"",96.8,"",96.6,"","..","",96.6,"a"
28,"Malta",100.0,"",100.0,"","..","",99.9,"",99.7,"",99.2,"",99.0,"",98.8,"",97.8,"","..","",97.8,"a"
66,"Mauritius",55.5,"",63.3,"",73.9,"",77.4,"",81.7,"",82.4,"",83.2,"",83.8,"",84.5,"","..","",84.5,"a"
74,"Mexico",87.4,"",86.2,"",87.3,"",88.6,"",90.5,"",90.5,"",91.1,"",90.6,"",90.3,"",90.4,"",90.4,"a"
90,"Moldova","..","",94.7,"",91.5,"",89.4,"",90.4,"",91.1,"",90.6,"",86.3,"",88.7,"","..","",88.7,"a"
99,"Mongolia",97.2,"",95.7,"",93.9,"",93.9,"",94.8,"",95.3,"",90.2,"",92.7,"",93.2,"","..","",93.2,"a"
48,"Montenegro","..","","..","","..","",52.6,"",62.1,"",63.2,"",61.2,"",63.9,"",64.7,"","..","",64.7,"a"
1.1,"Morocco",85.5,"",87.0,"",86.5,"",84.2,"",87.1,"",88.7,"",89.1,"",88.2,"",88.5,"","..","",88.5,"a"
1.1,"Mozambique",5.5,"",5.7,"",6.7,"",6.0,"",8.0,"",9.0,"",8.3,"",9.1,"",12.6,"","..","",12.6,"a"
1.7,"Myanmar",14.6,"",21.4,"",27.2,"",29.5,"",21.2,"",20.9,"",26.9,"",30.7,"",44.3,"","..","",44.3,"a"
1.0,"Namibia","..","",63.2,"",62.2,"",63.1,"",67.1,"",66.4,"",66.1,"",66.8,"",66.7,"","..","",66.7,"a"
1.2,"Nepal",5.1,"",8.6,"",12.0,"",10.6,"",12.6,"",13.0,"",15.2,"",13.7,"",15.5,"","..","",15.5,"a"
8,"Netherlands",98.0,"",95.5,"",93.8,"",93.1,"",93.7,"",92.2,"",91.2,"",91.6,"",90.9,"",93.5,"",93.5,"a"
14,"New Zealand",66.7,"",67.9,"",69.5,"",68.2,"",61.1,"",59.8,"",62.2,"",60.8,"",59.8,"",59.7,"",59.7,"a"
1.8,"Nicaragua",29.3,"",37.3,"",46.0,"",47.9,"",46.9,"",48.6,"",43.3,"",40.5,"",40.7,"","..","",40.7,"a"
1.9,"Niger","..","","..","",14.4,"",14.0,"",21.1,"",24.2,"",29.7,"",26.7,"",24.1,"","..","",24.1,"a"
1.1,"Nigeria",20.5,"",17.8,"",18.4,"",21.7,"",18.1,"",19.1,"",18.8,"",18.6,"",18.9,"","..","",18.9,"a"
82,"North Macedonia",98.0,"",88.8,"",87.3,"",84.6,"",81.1,"",82.1,"",82.1,"",81.1,"",79.4,"","..","",79.4,"a"
1,"Norway",52.1,"",53.0,"",54.3,"",55.0,"",63.0,"",57.3,"",57.8,"",61.8,"",58.0,"",57.0,"",57.0,"a"
60,"Oman","..","","..","",100.0,"","..","",100.0,"",100.0,"","..","",100.0,"",100.0,"","..","",100.0,"a"
1.4,"Pakistan",52.7,"",55.8,"",58.6,"",60.1,"",60.3,"",59.7,"",59.5,"",59.3,"",61.6,"","..","",61.6,"a"
57,"Panama",58.4,"",69.1,"",70.2,"",73.7,"",81.4,"",82.6,"",80.6,"",79.9,"",80.7,"","..","",80.7,"a"
1.3,"Paraguay",21.3,"",29.5,"",28.2,"",29.0,"",32.6,"",33.6,"",33.8,"",33.6,"",33.7,"","..","",33.7,"a"
79,"Peru",63.3,"",68.6,"",69.9,"",71.6,"",68.3,"",73.9,"",76.7,"",76.2,"",79.6,"","..","",79.6,"a"
